"edge_id","source","target","length","car","car reverse","bike","bike reverse","foot","WKT"
145,583541162,566167572,587.31463623,1,1,2,2,1,LINESTRING(139.9214652 37.5163171,139.9201577 37.5161325,139.9191845 37.5157987,139.9187308 37.5156392,139.9186327 37.5156193,139.9185987 37.5156068,139.9183497 37.5155744,139.9182623 37.5155858,139.9181729 37.5156126,139.9181047 37.5156433,139.917983 37.5156673,139.9178618 37.515661,139.9177911 37.5157326,139.9177301 37.5158347,139.9176716 37.5159649,139.9176431 37.5160764,139.9176224 37.5162769,139.917592 37.5163473,139.9175219 37.5164577,139.9174051 37.5165556,139.9173393 37.5166368,139.9172998 37.5167335,139.9172671 37.5168186,139.9172534 37.5169386,139.9173042 37.517229,139.9172898 37.5173098,139.9172753 37.5173914,139.9172438 37.5176391,139.9172084 37.5178127)
146,567029582,2325088532,71.8992462158,1,1,2,2,1,LINESTRING(139.9313338 37.5158296,139.9305186 37.5158285)
147,2325088532,2325088529,38.9924125671,1,1,2,2,1,LINESTRING(139.9305186 37.5158285,139.9300765 37.5158279)
148,2325088529,2325088527,1.8112500906,1,1,2,2,1,LINESTRING(139.9300765 37.5158279,139.930056 37.5158279)
149,2325088527,2325088525,36.3908195496,1,1,2,2,1,LINESTRING(139.930056 37.5158279,139.9296434 37.5158273)
150,2325088525,1979236227,35.6673812866,1,1,2,2,1,LINESTRING(139.9296434 37.5158273,139.929239 37.5158267)
151,1979236227,2325088534,22.6384353638,1,1,2,2,1,LINESTRING(139.929239 37.5158267,139.9289824 37.5158317)
152,2325088534,2325088540,24.441368103,1,1,2,2,1,LINESTRING(139.9289824 37.5158317,139.9287053 37.5158289)
153,2325088540,2325088538,36.6551055908,1,1,2,2,1,LINESTRING(139.9287053 37.5158289,139.9282897 37.5158293)
154,2325088538,2325088536,43.7374649048,1,1,2,2,1,LINESTRING(139.9282897 37.5158293,139.9277938 37.5158287)
155,2325088536,287195591,34.2875480652,1,1,2,2,1,LINESTRING(139.9277938 37.5158287,139.9274051 37.515834)
156,287193643,566111243,58.459487915,1,1,2,2,1,LINESTRING(139.9311794 37.5067953,139.9318006 37.5066121)
157,287193641,287193643,83.4198684692,2,2,2,2,1,LINESTRING(139.9302766 37.5069931,139.9310817 37.5068523,139.9311794 37.5067953)
158,567746945,567746948,60.6011161804,1,1,2,2,1,LINESTRING(139.930259 37.5131934,139.9303152 37.5132921,139.9303167 37.5137288)
159,567768331,567768321,272.496917725,2,0,2,0,1,LINESTRING(139.9346492 37.5132053,139.9341302 37.5131747,139.9333137 37.5132401,139.9320385 37.5133352,139.9315712 37.5133481)
160,287193643,566596147,952.345092773,2,0,2,0,1,LINESTRING(139.9311794 37.5067953,139.9309017 37.5061567,139.9306695 37.5056318,139.9304583 37.5051546,139.9302701 37.5047315,139.9300288 37.5041715,139.9296507 37.503319,139.9295491 37.5030896,139.9291261 37.5021361,139.9290025 37.501855,139.9287528 37.5012731,139.9284796 37.5006685,139.9284445 37.5005868,139.9282113 37.5000465,139.9281785 37.4999747,139.9279339 37.4994124,139.9278892 37.4993206,139.9276214 37.4987093)
161,583541162,583541210,362.489959717,0,0,5,5,1,LINESTRING(139.9214652 37.5163171,139.9218612 37.514445,139.9221461 37.5131022)
162,583541210,583539081,71.9564437866,0,0,5,5,1,LINESTRING(139.9221461 37.5131022,139.9222884 37.512465)
163,583539081,583539086,169.557067871,0,0,5,5,1,LINESTRING(139.9222884 37.512465,139.9226098 37.5109616)
164,583539086,583539079,204.890228271,0,0,5,5,1,LINESTRING(139.9226098 37.5109616,139.9230025 37.5091455)
165,583539079,583532679,189.946807861,0,0,5,5,1,LINESTRING(139.9230025 37.5091455,139.9232761 37.5079166,139.9233696 37.5074623)
166,583541156,583541210,207.400558472,1,1,2,2,1,LINESTRING(139.9198292 37.5127837,139.920843 37.5129217,139.9221461 37.5131022)
167,583541210,583541211,64.2124862671,1,1,2,2,1,LINESTRING(139.9221461 37.5131022,139.9228633 37.5132014)
